GIP_GXP,TRADING_DATE,TRADING_PERIOD,PRICE
OTA2201,4/01/07,10,13.18
OTA2201,4/01/07,11,19.83
OTA2201,4/01/07,12,20.24
OTA2201,4/01/07,13,14.18
OTA2201,4/01/07,14,14.18
OTA2201,4/01/07,15,19.16
OTA2201,4/01/07,16,20.59
OTA2201,4/01/07,17,20.79
OTA2201,4/01/07,18,25.68
OTA2201,4/01/07,19,29.65
OTA2201,4/01/07,20,34.25
OTA2201,4/01/07,21,33.25
OTA2201,4/01/07,22,32.45
OTA2201,4/01/07,23,27.05
OTA2201,4/01/07,24,26.12
OTA2201,4/01/07,25,26.08
OTA2201,4/01/07,26,25.73
OTA2201,4/01/07,27,25.73
OTA2201,4/01/07,28,25.44
OTA2201,4/01/07,29,25.67
OTA2201,4/01/07,30,25.65
OTA2201,4/01/07,31,25.67
OTA2201,4/01/07,32,25.62
OTA2201,4/01/07,33,25.62
OTA2201,4/01/07,34,25.56
OTA2201,4/01/07,35,25.64
OTA2201,4/01/07,36,20.81
OTA2201,4/01/07,37,25.59
OTA2201,4/01/07,38,25.6
OTA2201,4/01/07,39,22.83
OTA2201,4/01/07,40,20.64
OTA2201,4/01/07,41,18.26
OTA2201,4/01/07,42,19.36
OTA2201,4/01/07,43,23.54
OTA2201,4/01/07,44,24.89
OTA2201,4/01/07,45,20.55
OTA2201,4/01/07,46,20.32
OTA2201,4/01/07,47,20.37
OTA2201,4/01/07,48,20.28
OTA2201,5/01/07,1,20.26
OTA2201,5/01/07,2,20.27
OTA2201,5/01/07,3,20.17
OTA2201,5/01/07,4,13.19
OTA2201,5/01/07,5,20.27
OTA2201,5/01/07,6,20.39
OTA2201,5/01/07,7,13.19
OTA2201,5/01/07,8,11.5
OTA2201,5/01/07,9,13.19
OTA2201,5/01/07,10,13.19
OTA2201,5/01/07,11,13.71
OTA2201,5/01/07,12,15
OTA2201,5/01/07,13,15.1
OTA2201,5/01/07,14,12.36
OTA2201,5/01/07,15,19.34
OTA2201,5/01/07,16,18.98
OTA2201,5/01/07,17,20.28
OTA2201,5/01/07,18,20.67
OTA2201,5/01/07,19,22.92
OTA2201,5/01/07,20,28.45
OTA2201,5/01/07,21,25.7
OTA2201,5/01/07,22,20.86
OTA2201,5/01/07,23,25.72
OTA2201,5/01/07,24,25.69
OTA2201,5/01/07,25,33.15
OTA2201,5/01/07,26,25.99
OTA2201,5/01/07,27,29.64
OTA2201,5/01/07,28,25.53
OTA2201,5/01/07,29,25.53
OTA2201,5/01/07,30,25.52
OTA2201,5/01/07,31,26.56
OTA2201,5/01/07,32,32.92
OTA2201,5/01/07,33,26.57
OTA2201,5/01/07,34,26.56
OTA2201,5/01/07,35,26.83
